model,model_name,layer,r_fact_mean,r_hallu_mean,diff,abs_diff,p_value,t_statistic,significant
llama,Llama-3.1 8B,0,0.007054111542253907,0.007656963900256843,-0.0006028523580029364,0.0006028523580029364,7.369451589643782e-05,-4.137790464465459,True
llama,Llama-3.1 8B,1,0.0044947259407391435,0.005087702566173183,-0.0005929766254340399,0.0005929766254340399,1.4009984839966982e-09,-6.681367390443205,True
llama,Llama-3.1 8B,2,0.005301481517834033,0.005006549897035072,0.00029493162079896086,0.00029493162079896086,0.001799588098776272,3.208283816858914,True
llama,Llama-3.1 8B,3,0.0044193103389878535,0.005096436820770336,-0.0006771264817824821,0.0006771264817824821,2.9299288477468843e-13,-8.424612010054913,True
llama,Llama-3.1 8B,4,0.004427980705257762,0.004637310816933644,-0.0002093301116758827,0.0002093301116758827,0.01012157183021383,-2.621997433320479,True
llama,Llama-3.1 8B,5,0.006452359247810389,0.006615150194522243,-0.0001627909467118542,0.0001627909467118542,0.039763001443174066,-2.083701543016498,True
llama,Llama-3.1 8B,6,0.006318827276758698,0.005436024666325696,0.0008828026104330021,0.0008828026104330021,1.1081893584307522e-17,10.456251915773036,True
llama,Llama-3.1 8B,7,0.006370434412109509,0.006579509602216767,-0.0002090751901072576,0.0002090751901072576,0.0074434474013370016,-2.7325716780325187,True
llama,Llama-3.1 8B,8,0.004927772339409586,0.004960018965164547,-3.22466257549614e-05,3.22466257549614e-05,0.7755455133848301,-0.2859086001251415,False
llama,Llama-3.1 8B,9,0.005348333093555449,0.005620358870874617,-0.00027202577731916776,0.00027202577731916776,0.016424487680133472,-2.4409566109071634,True
llama,Llama-3.1 8B,10,0.005710116864642217,0.0053674493437996995,0.0003426675208425172,0.0003426675208425172,0.0004663596655975786,3.620028163682759,True
llama,Llama-3.1 8B,11,0.005981141890120583,0.006320867637808041,-0.0003397257476874579,0.0003397257476874579,2.3873257604182512e-05,-4.435068069970445,True
llama,Llama-3.1 8B,12,0.006217342557495668,0.0069989297652846335,-0.0007815872077889651,0.0007815872077889651,3.0554322544565966e-08,-6.013390823516361,True
llama,Llama-3.1 8B,13,0.0074146339055535275,0.007229887503903386,0.0001847464016501415,0.0001847464016501415,0.009484208445326967,2.645663499629367,True
llama,Llama-3.1 8B,14,0.007240290547968665,0.006398374718482231,0.0008419158294864339,0.0008419158294864339,2.740416006623756e-20,11.660498327577466,True
llama,Llama-3.1 8B,15,0.005485724483984302,0.006792749474731999,-0.001307024990747697,0.001307024990747697,2.636758371633792e-15,-9.366478168483873,True
llama,Llama-3.1 8B,16,0.005949875041548806,0.005967150921024332,-1.7275879475526015e-05,1.7275879475526015e-05,0.8304448393850802,-0.21469745300201598,False
llama,Llama-3.1 8B,17,0.005230379475312939,0.005593428321226698,-0.00036304884591375954,0.00036304884591375954,1.1923324638978986e-64,-41.73949525507728,True
llama,Llama-3.1 8B,18,0.00445107115885171,0.004899558609573152,-0.0004484874507214428,0.0004484874507214428,1.0075376993920267e-10,-7.234049335519833,True
llama,Llama-3.1 8B,19,0.0045508225715634835,0.004495957868420914,5.48647031425693e-05,5.48647031425693e-05,0.340442656752205,0.9579079568429409,False
llama,Llama-3.1 8B,20,0.004633521862957987,0.004682826330697719,-4.930446773973238e-05,4.930446773973238e-05,0.3376758072952042,-0.9634367720560835,False
llama,Llama-3.1 8B,21,0.006784796851506105,0.005944709632488178,0.0008400872190179268,0.0008400872190179268,6.653511041908477e-23,12.889942668213976,True
llama,Llama-3.1 8B,22,0.004179380494655562,0.004073803098468744,0.00010557739618681766,0.00010557739618681766,0.08966270773111361,1.7139749173270178,False
llama,Llama-3.1 8B,23,0.005024931592373764,0.004364542021391766,0.0006603895709819977,0.0006603895709819977,7.395646331124344e-22,12.394881130236948,True
llama,Llama-3.1 8B,24,0.006845063925238121,0.006499735023024522,0.00034532890221359875,0.00034532890221359875,2.1108490266160463e-09,6.593997028646163,True
llama,Llama-3.1 8B,25,0.006548654220869799,0.006070481945569254,0.0004781722753005452,0.0004781722753005452,9.357885186617487e-10,6.767006971840865,True
llama,Llama-3.1 8B,26,0.00587356823957791,0.005587487597396276,0.0002860806421816336,0.0002860806421816336,4.8428474660559844e-05,4.249978039834762,True
llama,Llama-3.1 8B,27,0.004454241507978369,0.003961152326729392,0.0004930891812489771,0.0004930891812489771,8.229081351656293e-08,5.792378629667328,True
llama,Llama-3.1 8B,28,0.005405316598594905,0.00506765227209361,0.0003376643265012944,0.0003376643265012944,2.959808960086924e-23,13.057564724408515,True
llama,Llama-3.1 8B,29,0.005908554385950242,0.005812855491943413,9.569889400682947e-05,9.569889400682947e-05,0.14212676383216047,1.4797065948632302,False
llama,Llama-3.1 8B,30,0.006125466277819267,0.005960743191354495,0.00016472308646477227,0.00016472308646477227,0.004342610484207213,2.919360286166824,True
llama,Llama-3.1 8B,31,0.009119755900263822,0.009376818671382283,-0.00025706277111846136,0.00025706277111846136,0.025044476695120964,-2.2752882414587603,True
